Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_testsuite001,Chrome 121.0.0.0,,,07-02-2024 11:45:17,07-02-2024 11:45:43,25.532s,PASSED
,,,,,,,
Test Cases/Amazon_testcase_001,Chrome 121.0.0.0,,,07-02-2024 11:45:18,07-02-2024 11:45:43,25.136s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,07-02-2024 11:45:18,07-02-2024 11:45:22,3.552s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,07-02-2024 11:45:22,07-02-2024 11:45:23,1.056s,PASSED
"click(findTestObject(""Object Repository/Amazontestcase001_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Hello, sign in""))",Chrome 121.0.0.0,,,07-02-2024 11:45:23,07-02-2024 11:45:37,14.321s,PASSED
"setText(findTestObject(""Object Repository/Amazontestcase001_OR/Page_Amazon Sign In/input_email""), ""gopi9162816@gmail.com"")",Chrome 121.0.0.0,,,07-02-2024 11:45:37,07-02-2024 11:45:39,1.885s,PASSED
"click(findTestObject(""Object Repository/Amazontestcase001_OR/Page_Amazon Sign In/inputcontinue""))",Chrome 121.0.0.0,,,07-02-2024 11:45:39,07-02-2024 11:45:40,1.349s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazontestcase001_OR/Page_Amazon Sign In/input_password""), ""0KgSb6dmQkDO+DyTs7S1JA=="")",Chrome 121.0.0.0,,,07-02-2024 11:45:40,07-02-2024 11:45:41,1.075s,PASSED
"click(findTestObject(""Object Repository/Amazontestcase001_OR/Page_Amazon Sign In/inputsignInSubmit""))",Chrome 121.0.0.0,,,07-02-2024 11:45:41,07-02-2024 11:45:42,0.545s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,07-02-2024 11:45:42,07-02-2024 11:45:43,0.767s,PASSED
